ticker,start,end,data_length,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
AAL,2015-03-23,2024-07-08,2338,,,,,,,
AET,1996-01-02,2018-11-28,5768,,,,,,,
AIT,1996-01-02,1999-10-07,951,,,,,,,
AN,1996-01-02,1998-12-31,759,,,,,,,
AN,2003-02-24,2017-08-07,3639,,,,,,,
ASH,1996-01-02,2008-11-13,3241,,,,,,,
ATI,1996-01-02,2015-07-01,3921,,,,,,,
BC,1996-01-02,2008-06-18,3137,,,,,,,
BMS,1996-01-02,2014-12-04,4755,,,,,,,
BOL,1996-01-02,2007-10-26,1995,,,,,,,
CAL,1996-01-02,1996-07-19,139,,,,,,,
CAR,1996-01-02,2006-07-31,2663,,,,,,,
CBE,1996-01-02,2009-09-08,3446,,,,,,,
CBE,2011-11-23,2012-11-27,252,,,,,,,
CCK,1996-01-02,2000-12-08,1248,,,,,,,
CIN,1996-01-02,2006-03-30,2578,,,,,,,
CSR,1996-01-02,2000-06-15,670,,,,,,,
DDS,1996-01-02,2008-10-16,3221,,,,,,,
DLX,1996-01-02,2004-12-16,2256,,,,,,,
DXC,1996-01-02,2015-11-30,5014,,,,,,,
DXC,2017-04-04,2023-09-18,1624,,,,,,,
EMN,1996-01-02,2025-11-03,7509,,,,,,,
FCN,1996-01-02,1998-10-01,605,,,,,,,
FMC,1996-01-02,2001-12-24,1507,,,,,,,
FMC,2009-08-19,2024-12-23,3862,,,,,,,
FMCC,1996-01-02,2008-09-08,3193,,,,,,,
FNMA,1996-01-02,2008-09-08,3193,,,,,,,
GDW,1996-01-02,2006-09-28,900,,,,,,,
GLK,1996-01-02,2005-06-30,354,,,,,,,
GR,1996-01-02,2012-07-26,2869,,,,,,,
GT,1996-01-02,2019-02-15,5821,,,,,,,
HP,1996-01-02,1999-12-28,1008,,,,,,,
HP,2010-03-01,2020-05-12,2568,,,,,,,
HRB,1996-01-02,2020-09-18,6222,,,,,,,
ITT,1996-01-02,2011-10-31,3987,,,,,,,
KBH,1996-01-02,2009-12-17,3516,,,,,,,
KMG,1996-01-02,2006-08-10,2392,,,,,,,
LNC,1996-01-02,2023-08-30,6963,,,,,,,
LPX,1996-01-02,2006-11-07,2733,,,,,,,
M,1996-01-02,2020-04-03,6106,,,,,,,
MAT,1996-01-02,2019-06-03,5894,,,,,,,
MCIC,1996-01-02,1998-09-08,245,,,,,,,
MD,1996-01-02,1997-07-29,398,,,,,,,
MEE,2008-06-23,2011-05-23,539,,,,,,,
NC,1996-01-02,2000-06-02,1116,,,,,,,
NMK,1996-01-02,2002-01-31,1531,,,,,,,
NWL,1996-01-02,2023-08-30,6963,,,,,,,
NYT,1996-01-02,2010-12-17,3768,,,,,,,
PBI,1996-01-02,2017-02-28,5326,,,,,,,
R,1996-01-02,2017-06-16,5402,,,,,,,
SCI,1996-01-02,2000-03-15,1061,,,,,,,
SNT,1996-01-02,1999-10-25,963,,,,,,,
SVU,1996-01-02,2012-04-30,4101,,,,,,,
TGNA,1996-01-02,2017-05-23,5385,,,,,,,
THC,1996-01-02,2016-04-15,5107,,,,,,,
TKR,1996-01-02,2001-08-06,1412,,,,,,,
TLAB,1996-01-02,2011-12-20,4022,,,,,,,
TWX,1996-01-02,2018-06-14,5640,,,,,,,
UIS,1996-01-02,2008-11-07,3237,,,,,,,
UNM,1996-01-02,2021-08-30,6460,,,,,,,
VFC,1996-01-02,2024-03-25,7105,,,,,,,
WEN,1996-01-02,2008-09-26,3207,,,,,,,
WHR,1996-01-02,2024-03-04,7090,,,,,,,
WOR,1996-01-02,2004-12-16,2256,,,,,,,
XRX,1996-01-02,2021-02-12,6323,,,,,,,
MTG,1996-07-19,2008-10-28,3090,,,,,,,
MBI,1996-12-03,2009-12-17,3282,,,,,,,
EHC,1997-01-08,2003-03-20,1558,,,,,,,
CFC,1997-06-18,2008-06-30,1390,,,,,,,
OI,1997-08-04,2000-12-08,847,,,,,,,
OI,2009-01-02,2016-11-29,1991,,,,,,,
CCU,1997-09-02,2008-07-29,2743,,,,,,,
BBT,1997-12-04,2019-12-05,4890,,,,,,,
SEE,1998-04-01,2023-10-02,6417,,,,,,,
SLM,1998-07-01,2014-04-22,3976,,,,,,,
KSS,1998-08-14,2020-09-18,5560,,,,,,,
BMC,1998-10-01,2013-09-09,307,,,,,,,
CPWR,1999-01-04,2011-12-30,1278,,,,,,,
BBBY,1999-10-01,2017-07-25,3815,,,,,,,
LEG,1999-10-18,2021-12-14,5576,,,,,,,
EP,1999-10-26,2012-05-23,3163,,,,,,,
CMVT,1999-10-27,2007-01-24,1819,,,,,,,
MOLX,1999-12-01,2013-12-03,3523,,,,,,,
RIG,1999-12-31,2008-12-16,2254,,,,,,,
RIG,2013-10-29,2017-07-25,940,,,,,,,
HOG,2000-01-31,2020-05-22,5110,,,,,,,
CVG,2000-06-13,2009-12-17,2343,,,,,,,
SANM,2000-06-21,2007-06-26,1761,,,,,,,
VIAV,2000-07-27,2013-12-18,3369,,,,,,,
KG,2000-10-03,2010-12-17,661,,,,,,,
NBR,2000-10-18,2015-03-19,3624,,,,,,,
HOT,2000-11-17,2016-09-16,375,,,,,,,
RHI,2000-12-05,2024-05-08,5891,,,,,,,
FLR,2000-12-22,2019-06-01,4636,,,,,,,
UVN,2001-02-07,2007-03-28,1540,,,,,,,
CE,2018-12-24,2024-12-23,1509,,,,,,,
PBG,2001-05-14,2010-02-26,1368,,,,,,,
ZION,2001-06-25,2024-03-04,5707,,,,,,,
COL,2001-07-02,2018-11-15,1551,,,,,,,
CIEN,2001-08-30,2009-12-17,2086,,,,,,,
GENZ,2001-12-14,2011-04-01,804,,,,,,,
FHN,2002-05-06,2013-06-19,2800,,,,,,,
AIV,2003-03-14,2020-11-17,4452,,,,,,,
ESRX,2003-09-26,2018-12-19,3833,,,,,,,
NOV,2005-03-14,2021-08-30,4145,,,,,,,
VNO,2005-08-12,2022-12-22,4371,,,,,,,
MUR,2005-08-15,2017-07-25,3006,,,,,,,
GNW,2005-12-02,2015-11-17,2506,,,,,,,
SSP,2005-12-20,2008-06-30,634,,,,,,,
HAR,2006-02-01,2017-03-10,1043,,,,,,,
CNX,2006-06-28,2016-03-03,2436,,,,,,,
SII,2006-10-02,2010-08-19,125,,,,,,,
WU,2006-10-02,2021-12-14,3827,,,,,,,
IAC,2006-12-01,2008-08-18,429,,,,,,,
TEX,2006-12-20,2008-11-05,472,,,,,,,
DDR,2007-03-23,2009-03-27,507,,,,,,,
ANF,2007-03-29,2013-12-18,1694,,,,,,,
JEF,2007-08-27,2019-09-23,3039,,,,,,,
ANDV,2007-09-27,2018-09-24,2766,,,,,,,
TDC,2007-10-01,2017-06-16,2445,,,,,,,
TIE,2007-10-29,2012-12-21,1297,,,,,,,
MTW,2007-11-16,2009-08-31,449,,,,,,,
GME,2007-12-14,2016-04-20,2100,,,,,,,
RRC,2007-12-21,2018-06-15,2638,,,,,,,
GHC,2007-12-31,2014-09-19,1692,,,,,,,
FLS,2008-10-02,2021-02-12,3112,,,,,,,
XRAY,2008-11-14,2024-03-25,3863,,,,,,,
SCG,2009-01-02,2018-12-24,867,,,,,,,
FTI,2009-06-05,2021-01-21,2927,,,,,,,
ATGE,2009-06-09,2012-09-25,832,,,,,,,
CLF,2009-12-21,2014-04-01,1075,,,,,,,
URBN,2010-02-08,2017-03-17,1789,,,,,,,
KMX,2010-06-28,2025-10-30,3860,,,,,,,
NFX,2010-12-20,2019-01-18,2032,,,,,,,
BWA,2011-12-19,2024-12-23,3273,,,,,,,
PRGO,2011-12-19,2021-08-30,2439,,,,,,,
TRIP,2011-12-21,2019-12-10,2004,,,,,,,
FOSL,2012-04-04,2016-01-04,942,,,,,,,
PVH,2013-02-14,2022-06-28,2358,,,,,,,
MAC,2013-05-09,2019-12-10,1659,,,,,,,
MHK,2013-12-23,2025-12-11,3010,,,,,,,
NAVI,2014-05-01,2018-06-01,1029,,,,,,,
UAA,2014-05-01,2022-06-09,2042,,,,,,,
AMG,2014-07-01,2019-12-10,1371,,,,,,,
SLG,2015-03-23,2021-02-12,1485,,,,,,,
QRVO,2015-06-12,2024-11-26,2381,,,,,,,
AAP,2015-07-09,2023-07-10,2013,,,,,,,
SIG,2015-07-29,2018-03-16,663,,,,,,,
ILMN,2015-11-19,2024-05-08,2129,,,,,,,
CSRA,2015-11-30,2018-04-02,587,,,,,,,
CCEP,2016-01-04,2016-05-24,98,,,,,,,
CPRI,2016-01-04,2020-04-06,1071,,,,,,,
UA,2016-04-08,2022-06-09,1554,,,,,,,
AYI,2016-05-03,2018-06-15,534,,,,,,,
ALK,2016-05-13,2023-10-02,1858,,,,,,,
LKQ,2016-05-23,2025-12-11,2403,,,,,,,
COTY,2016-10-03,2020-09-18,997,,,,,,,
EVHC,2016-12-02,2018-10-10,465,,,,,,,
BHF,2017-08-07,2019-02-27,391,,,,,,,
IPGP,2018-03-07,2022-06-09,1073,,,,,,,
NKTR,2018-03-19,2019-09-26,384,,,,,,,
TFX,2019-01-18,2024-12-23,1492,,,,,,,
MKTX,2019-07-01,2025-08-28,1549,,,,,,,
BIO,2020-06-22,2024-07-08,1016,,,,,,,
LUMN,2020-09-18,2023-03-15,625,,,,,,,
ETSY,2020-09-21,2024-07-08,953,,,,,,,
VNT,2020-10-12,2021-02-12,85,,,,,,,
ENPH,2021-01-07,2025-08-28,1165,,,,,,,
CZR,2021-03-22,2025-08-28,1115,,,,,,,
PENN,2021-03-22,2022-06-28,320,,,,,,,
OGN,2021-06-04,2023-10-02,585,,,,,,,
BBWI,2021-08-03,2024-09-30,794,,,,,,,
SEDG,2021-12-20,2023-10-02,447,,,,,,,
